Val,Post FT Obama,Region,R Age,Marital Status,Education,Military Service,Employed,R Race,R Gender,Pre FT Bush,Pre FT Obama,Pre FT McCain,Pre FT Biden,Pre FT Palin,Pre FT H Clinton,Pre FT B Clinton,Pre FT Condi,Pre FT Rush Lim,Pre FT Dem Party,Pre FT Rep Party,Post FT Bush,Post FT McCain,Post FT Biden,Post FT Palin,FT Rich People,FT Middle Class,FT Poor People,FT Working Class People,FT Ill Immigrants,FT People on Welfare,FT Liberals,FT Conservatives,FT Feminists,FT Environmentalists,FT Gay People,FT Big Business,FT Labor Unions,FT Military,FT Fed Govt,FT Supreme Court,FT Congress,FT Whites,FT Blacks,FT Hispanics,FT Asian Amer,FT Southerners,FT Christian Fundamentalis,FT Catholics,FT Jews,FT Israel,FT Muslims,FT Hindus,FT Christians,FT Atheists,One Party Control Pre,Better Worse Year Ago Pre,Own Stock Pre,Has Health Ins pre,Hopeful About Obama pre,Afraid of Obama pre,Care Who Wins pre,Expect Close Race pre,Duty to vote pre,Economy Better pre,Party ID pre,Iraq War pre,Impact on Terrorismc pre,"Attitude to Uni Health Care, pre",Welfare Spending pre,War on Terror Spending,Death Penalty,R Owns Gun,Religion Imp to R,Prays Often,R Born Again,Sexual Orientation,Should combat terrorists,Income Gap,Abortion,Abortion Importance,Prompt to recog Cheney,Prompt to recog Gordon Brown,Prompt to recog J Roberts,Crooks in Govt,Handling Afgan War,Handling Iraq War,Torture
out,0,South,35,Married,13,R has never served in the military,Working now,Native American,Male,85,25,60,15,90,20,20,95,52,40,60,85,70,0,70,50,50,50,70,0,30,15,40,40,40,50,50,15,100,30,60,15,50,50,50,50,50,15,50,50,60,50,50,50,50,Better when one party controls both,Better,Yes,No,No,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Independent,Worth it,Decreased,,Increased,Decreased,Favor,Yes,Not important,Once a week or less,,Heterosexual or straight,Very important,About the same,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,No,Yes,No,Not very many are crooked,Approve,Approve,Favor
in,60,South,39,Married,16,R has never served in the military,Working now,White,Female,85,30,60,50,70,40,40,100,50,30,60,85,60,60,70,100,100,100,100,100,100,50,85,50,60,100,70,40,100,70,70,85,100,100,100,100,100,85,100,100,100,50,100,100,50,Better when control is split,Better,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Decreased,,Increased,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,Yes,Yes,Not very many are crooked,Approve,Approve,Oppose
in,40,South,50,Married,12,R has never served in the military,Working now,White,Male,50,55,70,,75,70,50,70,,85,70,15,60,,70,60,85,50,85,0,0,50,60,70,85,50,70,50,70,60,50,50,85,60,50,70,85,60,75,50,60,60,,70,50,It doesnt matter,The same ,Yes,Yes,Yes,Yes,Dont care very much,Will be close,Yes,Gotten worse,No preference ,Not worth it,Decreased,,Decreased,Kept about the same,Favor,Yes,Not important,Once a week or less,No,Heterosexual or straight,Very important,Much larger,"3. The law should permit abortion for reasons other than rape, incest,",Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
in,40,South,72,Married,16,Not currently serving but previously served,Retired,White,Male,70,30,70,50,85,40,30,70,70,30,70,70,70,60,70,60,60,50,70,15,30,30,85,50,40,0,60,40,100,40,70,40,85,40,50,60,70,70,60,60,85,15,50,100,0,Better when one party controls both,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Not worth it,Decreased,,Increased,Kept about the same,Favor,Yes,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,Yes,No,Quite a few are crooked,Approve,Approve,Oppose
out,50,South,66,Married,16,R has never served in the military,Retired,White,Female,85,15,70,50,70,0,0,100,50,50,50,85,85,50,70,50,50,50,50,50,50,50,50,40,60,50,50,40,85,40,50,50,50,50,50,50,60,70,50,60,70,40,50,100,60,It doesnt matter,The same ,No,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Independent,Worth it,Decreased,,Increased,Kept about the same,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,About the same,"2. The law should permit abortion only in case of rape, incest, or",Very important,No,Yes,Yes,Not very many are crooked,Neither approve nor disapprove,Approve,Oppose
in,40,South,56,Married,14,Not currently serving but previously served,Working now,White,Male,70,30,70,15,100,40,30,100,60,30,70,70,70,30,85,70,70,70,70,40,50,15,85,50,50,15,70,15,85,50,60,50,70,70,70,70,70,85,70,70,70,70,50,100,0,It doesnt matter,Better,Yes,Yes,No,No,Care a good deal,Will be close,Yes,Gotten worse,No preference ,Not worth it,Decreased,Oppose,Kept about the same,Kept about the same,Oppose,No,Important,Once a day,Yes,Heterosexual or straight,Very important,About the same,,,No,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Oppose
out,50,South,40,Married,14,R has never served in the military,Working now,White,Female,85,40,85,,60,15,15,85,60,15,85,85,60,50,85,50,70,70,85,15,50,30,85,50,60,50,40,40,85,40,40,40,50,50,50,50,50,85,50,50,85,50,50,70,50,Better when control is split,Better,Yes,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,Oppose,Decreased,Increased,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Somewhat larger,,,No,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Neither approve nor disapprove,Neither favor nor oppose
in,100,South,55,Never married,16,R has never served in the military,Working now,Black,Male,0,100,50,60,15,50,70,50,0,40,0,0,60,70,50,70,100,80,100,40,60,65,60,70,70,50,70,60,85,60,40,60,85,85,70,85,70,70,70,70,75,60,50,90,0,Better when control is split,Worse,No,Yes,Yes,No,Care a good deal,Will be close,Yes,Gotten worse,Democrat,Not worth it,Increased,Neither favor nor oppose,Kept about the same,Kept about the same,Favor,No,Important,Several times a day,Yes,Heterosexual or straight,Very important,Much larger,,,No,Yes,Yes,Quite a few are crooked,Disapprove,Disapprove,Neither favor nor oppose
out,50,South,84,Married,15,R has never served in the military,Retired,White,Female,60,30,85,15,100,60,40,50,40,40,60,30,70,50,85,60,60,70,85,30,,40,85,40,60,60,40,15,100,0,40,0,,,50,60,85,60,60,50,60,50,50,70,30,Better when control is split,The same ,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Stayed about the same,Independent,Not worth it,Decreased,,Kept about the same,Kept about the same,Favor,No,Important,Once a day,Yes,Heterosexual or straight,Very important,,"4. By law, a woman should always be able to obtain an abortion as a",Somewhat important,Yes,Yes,Yes,Quite a few are crooked,Neither approve nor disapprove,Approve,Oppose
in,30,South,55,Married,12,R has never served in the military,Working now,White,Female,85,0,85,50,85,0,0,70,50,0,85,50,30,60,60,0,60,60,100,0,0,40,60,70,40,50,50,30,100,30,40,40,60,50,50,50,100,60,60,60,50,0,,100,0,Better when one party controls both,Worse,Yes,Yes,No,Yes,Care a good deal,Will be close,Yes,Gotten worse,Republican,Worth it,Stayed about the same,,Kept about the same,Increased,Favor,Yes,Important,Once a day,Yes,Heterosexual or straight,Very important,Somewhat larger,"1. By law, abortion should never be permitted.",Very important,No,Yes,Yes,Quite a few are crooked,Approve,Approve,Favor
