br?	Month	EXT_STAT-m1_is_missing	EXT_STAT-m1_=_C	EXT_STAT-m1_=_E	EXT_STAT-m1_=_I	INT_STAT-m1_is_missing	INT_STAT-m1_=_N	INT_STAT-m1_=_O	INT_STAT-m1_=_X	CASH-m1	EXT_STAT-m1_=_I*INT_STAT-m1_is_missing 	Calibrator
1	17	-1.11022e-16	0	1	0	0	0	0	1	18.99	0	0.173798
1	18	1	0	0	0	0	0	0	1	20.24	0	5.21437e-05
1	16	-1.11022e-16	0	1	0	0	0	0	0	19.99	0	0.0409853
1	15	1	0	0	0	0	0	0	0	20.99	0	-0.102936
1	8	-1.11022e-16	0	1	0	0	0	0	0	0	0	0.226423
1	18	-1.11022e-16	0	1	0	0	0	0	1	20.15	0	0.167881
1	14	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.123172
1	14	1	0	0	0	1	0	0	0	19.99	0	0.175237
1	16	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.146458
1	16	-1.11022e-16	0	1	0	0	0	0	1	17.9	0	0.178744
1	11	-1.11022e-16	0	0	0	0	0	0	1	18.99	0	0.0915377
1	15	1	0	0	0	0	0	0	0	19.99	0	-0.0924405
1	16	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.146458
1	13	-1.11022e-16	0	1	0	0	0	0	1	19.8	0	0.114862
1	13	-1.11022e-16	0	1	0	0	0	0	1	15.99	0	0.17202
1	13	1	0	0	0	0	0	0	0	20.99	0	-0.119352
1	13	-1.11022e-16	0	1	0	0	0	0	0	19.99	0	0.0224243
1	16	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.146458
1	15	-1.11022e-16	0	1	0	0	0	0	0	20.99	0	0.0265893
1	18	-1.11022e-16	0	1	0	0	0	0	1	20.24	0	0.166504
1	14	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.123172
1	18	-1.11022e-16	0	1	0	0	0	0	0	20.24	0	0.0528937
1	16	-1.11022e-16	0	1	0	0	0	0	1	15.49	0	0.216608
1	16	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.11701
1	14	-1.11022e-16	0	1	0	0	0	0	1	20.99	0	0.109205
1	15	-1.11022e-16	0	1	0	0	0	0	0	17.99	0	0.0520404
