0.1 0.2 0.2 0.2 0.2  0.9 -1827.12
0.05 0.2 0.2 0.2 0.2  0.85 -1827.12
0.075 0.2 0.2 0.2 0.2  0.875 -1823.29
0.0375 0.2 0.2 0.2 0.2  0.8375 -1823.29
0.01875 0.2 0.2 0.2 0.2  0.81875 -1823.29
0.059375 0.2 0.2 0.2 0.2  0.859375 -1767.23
0.059375 0.2 0.2 0.2 0.21  0.869375 -1040.41
0.059375 0.2 0.2 0.2 0.168  0.827375 -1040.41
0.059375 0.2 0.2 0.16 0.168  0.787375 -1040.41
0.059375 0.2 0.2 0.16 0.1344  0.753775 -1040.41
0.059375 0.2 0.2 0.128 0.1344  0.721775 -1040.41
0.0296875 0.2 0.2 0.128 0.1344  0.692087 -1040.41
0.0296875 0.2 0.2 0.128 0.10752  0.665208 -1040.41
0.0296875 0.2 0.2 0.128 0.086016  0.643703 -1040.41
0.0148438 0.2 0.2 0.128 0.086016  0.62886 -1040.41
0.00742188 0.2 0.2 0.128 0.086016  0.621438 -1040.41
0.0537109 0.2 0.2 0.128 0.086016  0.667727 -1006.83
0.0268555 0.2 0.2 0.128 0.086016  0.640871 -1006.83
0.0268555 0.2 0.2 0.1024 0.086016  0.615271 -1006.83
0.0268555 0.2 0.2 0.1024 0.0688128  0.598068 -1006.83
0.0268555 0.2 0.2 0.1024 0.0550502  0.584306 -1006.83
0.0134277 0.2 0.2 0.1024 0.0550502  0.570878 -1006.83
0.0134277 0.2 0.2 0.1024 0.0440402  0.559868 -1006.83
0.0134277 0.2 0.2 0.1024 0.0352322  0.55106 -1006.83
0.00671387 0.2 0.2 0.1024 0.0352322  0.544346 -1006.83
0.0533569 0.2 0.2 0.1024 0.0352322  0.590989 -985.6
0.0266785 0.2 0.2 0.1024 0.0352322  0.564311 -985.6
0.0266785 0.2 0.2 0.08192 0.0352322  0.543831 -985.6
0.0133392 0.2 0.2 0.08192 0.0352322  0.530491 -985.6
0.0133392 0.2 0.2 0.08192 0.0281857  0.523445 -985.6
0.00666962 0.2 0.2 0.08192 0.0281857  0.516775 -985.6
0.00666962 0.2 0.2 0.08192 0.0225486  0.511138 -985.6
0.00666962 0.2 0.2 0.08192 0.0180389  0.506628 -985.6
0.00666962 0.2 0.2 0.08192 0.0144311  0.503021 -985.6
0.00333481 0.2 0.2 0.08192 0.0144311  0.499686 -985.6
0.00333481 0.2 0.2 0.08192 0.0115449  0.4968 -985.6
0.0016674 0.2 0.2 0.08192 0.0115449  0.495132 -985.6
0.000833702 0.2 0.2 0.08192 0.0115449  0.494299 -985.6
0.000833702 0.249542 0.2 0.08192 0.0115449  0.543841 -922.931
0.000833702 0.249542 0.2 0.065536 0.0115449  0.527457 -922.931
0.000833702 0.249542 0.2 0.065536 0.0092359  0.525148 -922.931
0.000833702 0.249542 0.2 0.065536 0.00738872  0.523301 -922.931
0.000833702 0.249542 0.2 0.065536 0.00591097  0.521823 -922.931
0.000833702 0.249542 0.2 0.065536 0.00472878  0.520641 -922.931
0.000833702 0.249542 0.2 0.065536 0.00378302  0.519695 -922.931
0.000833702 0.249542 0.2 0.065536 0.00302642  0.518938 -922.931
0.000833702 0.29897 0.2 0.065536 0.00302642  0.568366 -351.358
0.000833702 0.29897 0.2 0.0524288 0.00302642  0.555259 -351.358
0.000833702 0.298283 0.2 0.0524288 0.00302642  0.554572 -351.358
0.000833702 0.297595 0.2 0.0524288 0.00302642  0.553884 -351.358
