0.01875 0.025 0.025 0.025 0.025  0.11875 -1830.24
0.0140625 0.025 0.025 0.025 0.025  0.114062 -1830.24
0.0105469 0.025 0.025 0.025 0.025  0.110547 -1830.24
0.00791016 0.025 0.025 0.025 0.025  0.10791 -1830.24
0.00593262 0.025 0.025 0.025 0.025  0.105933 -1830.24
0.0544495 0.025 0.025 0.025 0.025  0.154449 -1773.13
0.0908371 0.025 0.025 0.025 0.025  0.190837 -1725.43
0.118128 0.025 0.025 0.025 0.025  0.218128 -1045.14
0.0885959 0.025 0.025 0.025 0.025  0.188596 -1045.14
0.116447 0.025 0.025 0.025 0.025  0.216447 -1362.28
0.0873352 0.025 0.025 0.025 0.025  0.187335 -1362.28
0.0655014 0.025 0.025 0.025 0.025  0.165501 -1362.28
0.049126 0.025 0.025 0.025 0.025  0.149126 -1362.28
0.0368445 0.025 0.025 0.025 0.025  0.136845 -1362.28
0.0276334 0.025 0.025 0.025 0.025  0.127633 -1362.28
0.020725 0.025 0.025 0.025 0.025  0.120725 -1362.28
0.0155438 0.025 0.025 0.025 0.025  0.115544 -1362.28
0.0155438 0.025 0.025 0.025 0.02  0.110544 -1362.28
0.0155438 0.025 0.025 0.02 0.02  0.105544 -1362.28
0.0155438 0.025 0.025 0.02 0.016  0.101544 -1362.28
