br?	BEHV_SCR-m1	BEHV_SCR-m1_is_missing	BEHV_SCR-m2	BEHV_SCR-m3	Calibrator
1	226	-2.73616e-18	242	571	0.662066
1	592	-2.73616e-18	637	638	0.213899
1	226	-2.73616e-18	246	599	0.656661
1	661	-2.73616e-18	666	670	0.0396915
1	231	-2.73616e-18	235	278	0.519113
1	227	-2.73616e-18	241	583	0.664445
1	222	-2.73616e-18	239	245	0.492949
1	687	-2.73616e-18	689	689	-0.0538773
1	274	-2.73616e-18	272	291	0.453275
1	238	-2.73616e-18	257	589	0.66672
1	638	-2.73616e-18	637	636	0.0296369
1	665	-2.73616e-18	708	717	0.145677
1	289	-2.73616e-18	607	666	0.665567
1	247	-2.73616e-18	247	250	0.471497
1	229	-2.73616e-18	243	244	0.496307
1	653	-2.73616e-18	682	682	0.117256
1	225	-2.73616e-18	226	591	0.660233
1	203	-2.73616e-18	225	227	0.510064
1	236	-2.73616e-18	253	278	0.494691
1	211	-2.73616e-18	242	248	0.516857
1	545	-2.73616e-18	581	247	-1.30005
1	599	-2.73616e-18	644	682	0.281735
1	220	-2.73616e-18	225	591	0.64983
1	203	-2.73616e-18	221	225	0.513744
1	208	-2.73616e-18	225	225	0.485937
1	606	-2.73616e-18	561	616	0.137504
1	662	-2.73616e-18	672	631	-0.0970708
1	608	-2.73616e-18	636	605	0.122314
1	225	-2.73616e-18	226	594	0.653681
1	587	-2.73616e-18	600	654	0.249762
1	595	-2.73616e-18	644	671	0.247789
1	635	-2.73616e-18	640	660	0.0960038
1	625	-2.73616e-18	705	697	0.210547
1	203	-2.73616e-18	221	248	0.528639
1	592	-2.73616e-18	643	668	0.287996
1	242	-2.73616e-18	246	581	0.668207
1	214	-2.73616e-18	231	233	0.49019
1	226	-2.73616e-18	588	654	0.636837
1	267	-2.73616e-18	583	623	0.66849
1	243	-2.73616e-18	247	586	0.67049
1	668	-2.73616e-18	623	692	0.0745974
1	598	-2.73616e-18	656	701	0.321896
1	592	-2.73616e-18	661	688	0.289771
1	642	-2.73616e-18	671	671	0.101451
1	210	-2.73616e-18	231	231	0.503884
1	224	-2.73616e-18	225	230	0.482324
1	221	-2.73616e-18	580	648	0.631321
1	647	-2.73616e-18	657	648	0.0379072
1	226	-2.73616e-18	250	268	0.504143
1	593	-2.73616e-18	653	689	0.289661
1	226	-2.73616e-18	246	578	0.664626
1	222	-2.73616e-18	221	581	0.655993
1	640	-2.73616e-18	673	696	0.15523
1	248	-2.73616e-18	583	630	0.667703
1	636	-2.73616e-18	633	631	0.0329714
1	256	-2.73616e-18	257	596	0.665608
1	222	-2.73616e-18	220	222	0.467224
1	208	-2.73616e-18	224	230	0.497967
1	220	-2.73616e-18	241	586	0.656486
1	254	-2.73616e-18	573	637	0.66238
1	573	-2.73616e-18	590	636	0.283244
1	220	-2.73616e-18	222	221	0.487668
1	651	-2.73616e-18	690	648	0.057375
1	223	-2.73616e-18	583	639	0.642194
1	648	-2.73616e-18	653	669	0.123418
1	228	-2.73616e-18	232	545	0.665693
1	630	-2.73616e-18	682	684	0.201633
1	295	-2.73616e-18	608	661	0.663571
1	664	-2.73616e-18	687	679	0.0339923
1	222	-2.73616e-18	220	222	0.467224
1	205	-2.73616e-18	220	221	0.506589
1	599	-2.73616e-18	654	666	0.228084
1	250	-2.73616e-18	240	241	0.44741
1	231	-2.73616e-18	247	577	0.667066
1	208	-2.73616e-18	225	230	0.498139
1	221	-2.73616e-18	225	241	0.495829
1	702	-2.73616e-18	702	690	-0.0828124
1	654	-2.73616e-18	655	662	0.0311302
1	225	-2.73616e-18	239	239	0.492743
