Included Error Fit Y Units[u] Material_Cost_[$/u] 
1 6.22499 28.285 34.51 2200 2.24122 
1 -15.3768 41.4668 26.09 260 2.2244 
1 -6.0016 40.8416 34.84 400 2.35357 
1 -3.99024 42.7202 38.73 290 2.79654 
1 -5.88872 46.2487 40.36 130 3.7532 
1 -5.84255 36.3926 30.55 1300 3.01525 
1 -5.69497 41.655 35.96 300 2.40525 
1 -7.5937 40.1937 32.6 120 1.35028 
1 1.98211 42.1979 44.18 250 2.48455 
1 -3.75995 42.15 38.39 210 2.35873 
1 3.1856 41.7844 44.97 400 2.72355 
1 4.85109 42.0889 46.94 120 2.09402 
1 -11.2817 45.2917 34.01 290 3.80564 
1 10.9883 40.9117 51.9 190 1.8193 
1 -1.87058 40.3106 38.44 180 1.55665 
1 1.84405 31.706 33.55 1400 1.4436 
1 6.13624 36.1338 42.27 800 1.57612 
1 3.64601 46.344 49.99 170 3.89759 
1 50.8444 40.7556 91.6 200 1.7848 
1 -6.35484 45.4348 39.08 180 3.56756 
1 9.07033 44.9297 54 240 3.52983 
1 6.4668 25.4732 31.94 2200 1.13778 
1 -15.0136 44.1736 29.16 180 3.0726 
1 10.3263 40.8937 51.22 300 2.10649 
1 15.7632 45.6668 61.43 100 3.44458 
1 1.82264 23.8674 25.69 2400 1.04262 
1 -9.56511 43.1251 33.56 140 2.55415 
1 -9.48463 42.4046 32.92 160 2.32492 
1 3.14419 38.0158 41.16 300 0.977132 
1 1.13462 38.5754 39.71 400 1.46424 
1 0.101653 41.9483 42.05 140 2.09236 
1 4.52571 42.9943 47.52 110 2.42256 
1 1.94412 41.4859 43.43 270 2.25864 
1 8.88288 46.7971 55.68 230 4.23592 
1 -1.31847 32.7585 31.44 1200 1.32161 
1 -8.3917 44.8217 36.43 300 3.64797 
1 -1.85243 38.8624 37.01 260 1.20237 
1 -0.0563801 42.2864 42.23 170 2.30526 
1 2.27005 42.63 44.9 120 2.30633 
1 1.87204 27.928 29.8 2000 1.56608 
1 -17.148 41.668 24.52 140 1.98233 
1 -6.62222 39.0422 32.42 280 1.32642 
1 -13.1915 38.5215 25.33 600 1.97813 
1 -12.9677 40.4677 27.5 250 1.80558 
1 2.48353 43.8365 46.32 600 4.06387 
1 1.25733 39.4327 40.69 190 1.23889 
1 8.83709 42.2029 51.04 120 2.13875 
1 0.542828 39.5872 40.13 200 1.32627 
1 -1.32419 41.4142 40.09 600 3.11329 
1 2.60167 21.9483 24.55 2700 1.09208 
1 -1.84969 42.6997 40.85 1700 6.56041 
1 7.67133 40.4087 48.08 250 1.78241 
1 4.6021 40.8479 45.45 300 2.08853 
1 6.0689 40.2511 46.32 130 1.39955 
1 -3.69517 53.2452 49.55 170 6.60582 
1 -5.65786 45.9379 40.28 190 3.79171 
1 -18.6338 43.1838 24.55 210 2.76446 
1 15.4811 37.4489 52.93 700 1.82472 
1 6.87298 41.037 47.91 210 1.92198 
1 -1.9579 39.9779 38.02 200 1.4796 
1 6.00516 40.7948 46.8 180 1.74669 
1 -5.07651 40.5365 35.46 150 1.56506 
1 -11.161 36.361 25.2 700 1.39779 
1 0.0439516 39.496 39.54 150 1.15675 
1 11.5372 38.6028 50.14 180 0.886473 
1 -11.7533 45.5633 33.81 300 3.93901 
1 2.29241 40.7176 43.01 130 1.58262 
1 -3.82746 36.1875 32.36 1200 2.66725 
1 0.307777 39.0522 39.36 120 0.902328 
1 3.87902 52.341 56.22 100 6.06373 
1 -5.4185 41.8885 36.47 120 2.01537 
1 -8.18711 39.8071 31.62 150 1.27882 
1 -7.76963 45.9196 38.15 190 3.78456 
1 -4.24718 44.9072 40.66 150 3.28024 
1 -2.28864 32.0586 29.77 1200 1.04698 
1 -4.00363 42.0036 38 150 2.1408 
1 0.90136 39.9586 40.86 300 1.73956 
1 -4.93447 40.3645 35.43 300 1.89881 
1 -7.43459 40.2946 32.86 400 2.13891 
1 -3.14258 39.4126 36.27 150 1.124 
1 -6.74092 37.8309 31.09 800 2.24214 
1 15.3947 49.1253 64.52 230 5.14959 
1 4.81731 39.4327 44.25 110 1.02488 
